url,project_name,activity_comment_total,activity_faq_end,activity_faq_total,activity_update_end,activity_update_total,backers_US,backers_total,backers_exist,backers_new,creator_backed,creator_projects,dollar_goal,dollar_total,funding_days,funding_end,funding_start,reward_count,reward_max,reward_mean,reward_median,reward_min,reward_mode_backers,reward_mode_cost
https://www.kickstarter.com/projects/36686364/universe-game,Universe Game,0,0,0,0,0,-1,3,-1,-1,0,1,5000,71,60,2015-12-12,2015-10-13,1,35,35.0,35.0,35,2,35
https://www.kickstarter.com/projects/socialent/garbage-bag-kid-foster-care-empathy-game-by-501c3,Garbage Bag Kid: Foster Care Empathy Game by 501c3 Nonprofit,0,0,0,0,2,39,44,20,24,82,1,7000,2727,28,2016-06-29,2016-05-31,7,500,102.142857143,25.0,5,14,15
https://www.kickstarter.com/projects/baneofempires/bane-of-empires-phase-i,Bane of Empires - Phase I,7,0,0,0,0,12,13,7,6,0,1,12000,356,30,2014-10-04,2014-09-04,8,1000,242.5,75.0,5,2,50
https://www.kickstarter.com/projects/dvgames/israeli-air-force-leader,Israeli Air Force Leader,126,0,0,16,30,122,186,178,8,4,13,20000,24370,30,2016-12-02,2016-11-02,13,720,187.692307692,170.0,40,83,70
https://www.kickstarter.com/projects/1262568438/gratuitous-anime-gimmick-order,Gratuitous Anime Gimmick: ORDER,17,0,0,4,5,90,134,127,7,0,1,2500,2894,30,2017-11-20,2017-10-21,7,500,97.0,20.0,1,56,3
https://www.kickstarter.com/projects/eaglegryphon/railways-of-nippon-the-next-train-stop-on-the-rotw,Railways of Nippon: The Next Train Stop on the ROTW Track!,673,0,0,18,33,605,1010,974,36,34,27,15000,117900,27,2017-02-14,2017-01-17,6,239,70.5,42.0,1,370,49
https://www.kickstarter.com/projects/1869540351/the-game-room-a-puzzle-adventure-you-host-at-home,The Game Room - A Puzzle Adventure You Host at Home,21,0,0,5,13,54,69,59,10,8,1,4000,4305,30,2016-11-04,2016-10-05,11,1000,149.727272727,49.0,1,15,58
https://www.kickstarter.com/projects/1741599408/mad-science-dice-game,Mad Science! dice game,6,0,0,0,0,33,36,36,0,0,2,2400,1114,30,2017-12-24,2017-11-24,5,100,29.2,15.0,1,22,20
https://www.kickstarter.com/projects/pawnjokergames/bushido-the-card-game-of-virtue-and-dice,"Bushido, the Card Game of Virtue and Dice",36,0,0,8,14,78,121,118,3,21,6,3000,3415,30,2016-03-09,2016-02-08,4,100,42.75,35.0,1,92,25
https://www.kickstarter.com/projects/1846859668/quizmania-the-first-board-game-with-vr-experience,Quizmania - the first board game with VR experience!,2,0,0,1,1,4,10,8,2,0,2,49000,260,31,2017-09-02,2017-08-02,6,10000,1874.33333333,105.0,1,5,35
https://www.kickstarter.com/projects/intercouncilmmc/game-time-for-chess-masters,Game Time for Chess Masters,0,0,0,0,0,-1,2,-1,-1,0,1,500,50,30,2015-03-21,2015-02-19,2,25,17.5,17.5,10,1,10
https://www.kickstarter.com/projects/487033799/escaping-fate,Escaping Fate - Matching Card Game,3,1,1,0,0,11,15,8,7,1,1,1150,530,30,2017-01-10,2016-12-11,4,30,16.75,16.0,5,6,20
https://www.kickstarter.com/projects/1492393010/hang-out-gaming-for-the-youth,"Gaming For The Youth,",0,0,0,2,2,-1,1,-1,-1,0,1,15000,15,45,2017-03-18,2017-02-01,3,200,88.3333333333,50.0,15,1,15
https://www.kickstarter.com/projects/200664283/pugmire-fantasy-tabletop-rpg,Pugmire Fantasy Tabletop RPG,713,0,0,32,68,2469,3239,2825,414,77,26,15000,193404,40,2016-03-08,2016-01-28,23,1000,272.826086957,180.0,5,1117,40
https://www.kickstarter.com/projects/577165672/armada-the-rising,"ARMADA, the Rising",0,0,0,1,1,-1,4,-1,-1,0,1,20000,315,30,2013-05-10,2013-04-10,5,60,27.2,25.0,1,3,60
https://www.kickstarter.com/projects/gametasia/heroes-from-earth-rpg-book-with-hd-videos-and-post,HEROES FROM EARTH: RPG Book with HD Videos and Poster Maps!,0,0,0,2,2,19,20,15,5,69,2,8000,2256,31,2015-06-06,2015-05-05,8,45,23.75,22.5,5,14,45
https://www.kickstarter.com/projects/244627251/dungeon-worlds-part-2,Dungeon Worlds Part 2,116,0,0,9,18,37,46,46,0,7,12,4200,8223,14,2016-03-02,2016-02-17,13,420,109.846153846,50.0,1,7,42
https://www.kickstarter.com/projects/1851773173/jersey-match-a-game-you-play-while-watching-sports,Jersey Match,1,0,0,0,0,9,12,9,3,2,1,25000,569,20,2017-09-30,2017-09-10,17,1499,213.294117647,35.0,23,4,23
https://www.kickstarter.com/projects/1186238668/ouija-in-emoji-with-emouija-board,Ouija in Emoji with Emouija Board,4,0,0,1,1,35,39,39,0,28,3,2200,376,31,2014-11-28,2014-10-28,4,58,30.25,29.5,4,26,4
https://www.kickstarter.com/projects/898024274/rise-of-the-rock-star,Rise of the Rock Star,1,0,0,0,0,13,13,6,7,4,3,37000,1114,60,2013-07-16,2013-05-17,13,3000,388.615384615,70.0,1,3,70
https://www.kickstarter.com/projects/letimangames/dino-dude-ranch-hatchlings-expansion-and-2e-print,Dino Dude Ranch: Hatchlings Expansion and 2e print,54,2,2,4,7,181,230,225,5,145,7,2200,6211,23,2017-11-30,2017-11-07,5,66,39.2,40.0,16,113,16
https://www.kickstarter.com/projects/494568513/anthro-adventures-setting-for-5e,"Anthro-Adventures RPG Setting, Now for 5E & Pathfinder",18,0,0,7,8,115,141,122,19,54,5,1000,4835,27,2018-01-14,2017-12-18,6,495,148.0,94.5,10,56,10
https://www.kickstarter.com/projects/2062444429/who-is-the-trainer-0,WHO IS THE TRAINER,0,0,0,0,0,-1,1,-1,-1,0,1,3000,1,12,2013-05-26,2013-05-14,3,35,20.0,20.0,5,0,-1
https://www.kickstarter.com/projects/tony-go/reissue-of-deep-space-d-6-and-new-mini-expansion,Reissue of Deep Space D-6 and new Mini-Expansion.,1398,8,8,4,11,5015,9066,8805,261,76,7,20000,254432,29,2017-06-20,2017-05-22,5,150,40.6,20.0,1,7552,26
https://www.kickstarter.com/projects/1612531550/the-space-base-race,The Space Base Race,24,0,0,6,9,42,75,68,7,0,2,2500,1366,16,2014-11-30,2014-11-14,5,200,74.2,45.0,1,37,1
https://www.kickstarter.com/projects/1592014779/battlemaps-in-25mm-scale-for-tabletop-games,Battlemaps in 25mm scale for tabletop games,0,0,0,1,2,-1,3,-1,-1,102,10,100,30,21,2017-06-11,2017-05-21,8,300,98.875,45.0,1,3,10
https://www.kickstarter.com/projects/2031811366/pharaohs-game,Pharaohs game,2,1,1,0,0,-1,3,-1,-1,0,1,688,12,30,2015-10-25,2015-09-25,4,700,203.75,52.5,10,1,10
https://www.kickstarter.com/projects/1580315595/battlelords-science-fiction-rpg-revised-edition,"Battlelords, Science Fiction RPG revised edition",79,7,7,35,45,198,242,198,44,1,1,15000,18185,30,2017-10-19,2017-09-19,16,500,152.5625,87.5,1,64,100
https://www.kickstarter.com/projects/957708157/dominoker-game,Dominoker Game:,2,0,0,6,6,16,17,9,8,5,2,80000,472,31,2013-08-08,2013-07-08,10,3000,381.0,67.5,5,8,5
https://www.kickstarter.com/projects/500559789/dreamchaser-a-game-of-destiny-rpg,Dreamchaser: A Game of Destiny (RPG),94,0,0,25,35,217,309,286,23,103,1,4000,14414,30,2017-02-23,2017-01-24,14,350,94.3571428571,52.0,1,78,12
https://www.kickstarter.com/projects/862264378/saved-by-the-bell-bayside-high-school-board-game,SAVED BY THE BELL: Bayside High School BOARD GAME,1,0,0,0,0,-1,1,-1,-1,0,1,75000,112,30,2015-04-22,2015-03-23,1,100,100.0,100.0,100,1,100
https://www.kickstarter.com/projects/1617429795/quint-vintage-mechanical-baseball-pinball-machines,"Quint ""Vintage"" Mechanical Baseball Pinball Machines & Games",2,0,0,0,0,-1,8,-1,-1,0,1,75000,2111,30,2016-04-17,2016-03-18,22,2120,382.5,230.0,10,2,30
https://www.kickstarter.com/projects/1719872687/dice-coins-2-more-art-and-custom-options,Dice Coins 2: More art and custom options,60,0,0,1,9,144,184,183,1,23,7,1000,8573,30,2017-01-10,2016-12-11,7,100,45.5714285714,34.0,18,70,39
https://www.kickstarter.com/projects/steincastle/the-out-house-dice-tower-all-in-1,The Out-House Dice Tower #All in 1,21,0,0,0,6,13,14,14,0,3,9,100,790,7,2017-03-10,2017-03-03,2,60,49.0,49.0,38,10,38
https://www.kickstarter.com/projects/alxhague/monikers-the-shut-up-and-sit-down-nonsense-box,Monikers: The Shut Up & Sit Down Nonsense Box,245,0,0,5,10,2251,3975,3682,293,88,5,1000,136851,30,2017-03-24,2017-02-22,6,55,32.5,32.5,10,1837,10
https://www.kickstarter.com/projects/brandogameworks/code-triage-relaunched,Code Triage (Relaunched),165,7,7,8,15,153,273,261,12,31,2,15000,16053,30,2017-08-04,2017-07-05,5,179,75.4,79.0,1,218,39
https://www.kickstarter.com/projects/725668831/flippin-zombies-v12,Flippin' Zombies v1.2,3,0,0,3,4,17,19,13,6,3,2,5000,1574,30,2016-02-14,2016-01-15,7,100,62.8571428571,75.0,10,6,30
https://www.kickstarter.com/projects/545820095/deadlands-good-intentions,Deadlands: Good Intentions,220,0,0,8,26,753,1064,1045,19,146,16,6000,56123,16,2016-09-29,2016-09-13,8,900,214.375,145.0,20,488,35
https://www.kickstarter.com/projects/2139148164/going-native-from-out-of-the-mists,Going Native: From Out of the Mists,122,0,0,15,30,79,117,116,1,1,6,5000,14816,32,2017-06-18,2017-05-17,17,1000,295.882352941,270.0,30,40,150
https://www.kickstarter.com/projects/cohiogames/battle-blakes-first-bash-0,Battle Blakes: First Bash,8,0,0,9,22,63,64,48,16,83,3,4000,4030,28,2016-10-06,2016-09-08,5,250,101.0,35.0,1,28,19
https://www.kickstarter.com/projects/370924922/sword-art-online-board-game-sword-of-fellows,Sword Art Online Board Game: Sword of Fellows,434,7,7,15,32,968,1556,1364,192,17,12,10000,68443,15,2017-04-13,2017-03-28,2,35,30.0,30.0,25,1334,35
https://www.kickstarter.com/projects/629839562/story-storm-a-quick-fun-word-game-to-fire-imaginat,"Story Storm: A Quick, Fun Word Game to Fire Imaginations.",2,1,1,1,1,22,23,3,20,1,1,5500,1063,30,2014-10-08,2014-09-08,7,500,118.714285714,50.0,1,7,25
https://www.kickstarter.com/projects/rewordable/rewordable-the-uniquely-fragmented-word-game,Rewordable • The uniquely fragmented word game,130,0,0,7,13,935,1232,1166,66,1,1,15000,43342,35,2016-10-26,2016-09-21,9,250,87.2222222222,65.0,20,869,20
https://www.kickstarter.com/projects/2047615281/space-base-mutiny-the-1-game,Space Base Mutiny - The $1 Game!,396,0,0,8,22,1741,2960,2855,105,19,1,1000,11538,40,2016-09-15,2016-08-06,3,25,10.3333333333,5.0,1,2395,1
https://www.kickstarter.com/projects/braindeadedd/assembly-required,Assembly Required,0,0,0,2,2,67,77,59,18,25,1,8000,2125,40,2013-04-21,2013-03-12,7,80,35.7142857143,35.0,5,53,20
https://www.kickstarter.com/projects/1981829556/pizzeria-boss-a-tasty-card-game-about-pizza,Pizzeria Boss - A tasty card game about pizza!,41,0,0,1,4,75,101,99,2,55,2,500,2302,30,2017-10-19,2017-09-19,6,500,151.166666667,47.5,1,89,16
https://www.kickstarter.com/projects/1565403654/pick-your-poison-the-game-of-awful-dilemmas,Pick Your Poison - The game of awful dilemmas,1,0,0,2,5,97,106,92,14,0,1,15000,3432,30,2016-07-17,2016-06-17,4,40,28.75,27.5,20,52,40
https://www.kickstarter.com/projects/108991025/strong-arm-cups-improving-the-game-of-beer-pong,Strong Arm Cups: Improving the Game of Beer Pong,6,0,0,0,1,55,58,32,26,1,1,40000,2123,30,2015-04-24,2015-03-25,13,100,35.0769230769,20.0,1,23,20
https://www.kickstarter.com/projects/1839615594/antidote-lab-alliance,Antidote: Lab Alliance,176,0,0,4,15,621,939,923,16,99,7,3000,21955,14,2017-03-21,2017-03-07,5,300,74.8,24.0,1,468,9
https://www.kickstarter.com/projects/627279234/sky-relics-a-sky-adventure-awaits,Sky Relics: A Sky Adventure Awaits (Canceled),115,2,2,14,25,37,63,62,1,8,3,6500,6452,39,2015-05-27,2015-04-18,9,500,161.777777778,100.0,1,38,100
https://www.kickstarter.com/projects/2125967171/loot-the-body-an-adventure-card-game-for-every-par,Loot the Body - An Adventure Card Game for Every Party,2,0,0,9,9,48,68,63,5,10,1,8000,2478,35,2017-12-12,2017-11-07,6,50,27.5,27.5,5,25,25
https://www.kickstarter.com/projects/913263980/arrowhead-marbles-a-unique-gaming-experience,Arrowhead Marbles - A Unique Gaming Experience,2,0,0,0,0,9,12,9,3,0,1,10000,715,30,2015-08-06,2015-07-07,5,1200,251.0,15.0,5,8,25
https://www.kickstarter.com/projects/854729549/seers-the-old-testament-card-game,Seers - The Old Testament Card Game,18,0,0,6,6,37,42,35,7,0,1,15000,3759,34,2013-07-07,2013-06-03,10,1000,145.6,45.0,1,25,20
https://www.kickstarter.com/projects/770568564/chibi-paper-miniatures,Chibi Paper Miniatures,27,0,0,5,5,34,67,67,0,38,7,200,670,14,2017-09-15,2017-09-01,1,10,10.0,10.0,10,63,10
https://www.kickstarter.com/projects/1898212818/tabletop-cartographer-large-scale-fantasy-maps,Tabletop Cartographer: Large Scale Fantasy Maps,3,0,0,6,8,15,17,14,3,20,2,4678,627,16,2016-09-02,2016-08-16,11,1000,240.545454545,125.0,1,7,35
https://www.kickstarter.com/projects/682206933/gamers-link-chicago-revival-open-play-and-hobby-ce,"Gamers Link Chicago Revival, open play & Hobby center",3,0,0,0,0,17,17,11,6,3,2,20000,1495,15,2015-02-20,2015-02-05,12,1000,179.666666667,62.5,1,3,35
https://www.kickstarter.com/projects/evilhat/fate-more-from-bits-to-books,Fate More: From Bits to Books,355,0,0,13,23,1423,2074,2021,53,310,9,10000,73357,29,2016-02-10,2016-01-11,12,155,61.5833333333,55.0,4,1084,10
https://www.kickstarter.com/projects/524168246/shadowsea-mini-kicker-the-good-the-bad-and-the-sca,"ShadowSea Mini Kicker - The Good, the Bad and the Scaly",169,0,0,4,5,54,91,91,0,0,8,10000,9345,18,2014-07-26,2014-07-08,9,285,104.444444444,55.0,10,20,90
https://www.kickstarter.com/projects/229624671/blackout-a-game-to-forget,BLACKOUT - a game to forget.,0,0,0,0,0,-1,4,-1,-1,0,1,30000,90,30,2016-10-24,2016-09-24,4,100,46.25,35.0,15,2,15
https://www.kickstarter.com/projects/1154935629/booty-a-pirate-card-game-adventure,Booty! (A Pirate Card Game Adventure),0,0,0,4,5,7,12,11,1,1,1,18000,96,45,2015-06-08,2015-04-24,8,1000,236.25,75.0,5,8,5
https://www.kickstarter.com/projects/796537108/bring-miskatonic-tavern-to-providence,Bring Miskatonic Tavern to Providence!,0,0,0,4,4,21,22,19,3,0,1,30000,982,45,2016-09-01,2016-07-18,24,500,104.166666667,67.5,10,4,20
